,EPS,MAE ENTRIES,MAE EXITS,MIN_SAMPLES,MSE ENTRIES,MSE EXITS,R2 ENTRIES,R2 EXITS
0,700.0,251813.4,216075.42857142858,1.0,70699110264.08571,55295671545.25714,0.46997359404895556,0.5854521231695009
1,700.0,251813.4,216075.42857142858,2.0,70699110264.08571,55295671545.25714,0.46997359404895556,0.5854521231695009
2,700.0,255311.2857142857,223272.4,3.0,72564490977.28572,58996588780.57143,0.4559889621143435,0.5577065991646201
3,700.0,317228.4,293438.0857142857,4.0,110601266206.68571,102152811202.2,0.17082985341410462,0.23416734415677665
4,700.0,393777.3714285714,394062.4,5.0,171402326313.25714,186105018799.14285,-0.284991545835809,-0.39521662825889137
5,800.0,242454.77142857143,200220.85714285713,1.0,65932151599.57143,47677106121.542854,0.5057111579140723,0.6425679883473043
6,800.0,242454.77142857143,200220.85714285713,2.0,65932151599.57143,47677106121.542854,0.5057111579140723,0.6425679883473043
7,800.0,243885.05714285714,204639.34285714285,3.0,66632057036.6,49692358736.71429,0.5004640146062125,0.6274597769891572
8,800.0,283998.65714285715,254243.0285714286,4.0,88983223027.4,76406895849.48572,0.3328988481611558,0.4271827149492289
9,800.0,335184.1142857143,327607.8857142857,5.0,123663581229.2,127392060335.25714,0.07290256891331826,0.04495041544398515
10,900.0,236379.45714285714,188169.6,1.0,63004152486.77143,42415177218.57143,0.5276621674895576,0.6820163103190255
11,900.0,236379.45714285714,188169.6,2.0,63004152486.77143,42415177218.57143,0.5276621674895576,0.6820163103190255
12,900.0,236989.17142857143,190790.88571428572,3.0,63296491988.25714,43510665762.14286,0.5254705181928236,0.6738035074514812
13,900.0,262486.34285714285,224719.94285714286,4.0,76699199709.54286,59915792955.71429,0.42499133285385327,0.5508153881795554
14,900.0,297507.0857142857,279798.0857142857,5.0,97947241382.34285,92834530223.28572,0.2656962141562538,0.30402586088276207
15,1000.0,233954.74285714285,181518.74285714285,1.0,61910078485.2,39647938304.457146,0.5358643656322399,0.7027621116534015
16,1000.0,233954.74285714285,181518.74285714285,2.0,61910078485.2,39647938304.457146,0.5358643656322399,0.7027621116534015
17,1000.0,234268.22857142857,183019.37142857144,3.0,62055947938.171425,40252919951.2,0.5347707922957765,0.6982266055247996
18,1000.0,250230.8,205508.45714285714,4.0,70161226765.02856,50256811414.11429,0.47400606994236794,0.6232281137784854
19,1000.0,274393.17142857146,245924.05714285714,5.0,83621281033.0,71641694863.2,0.37309696145556726,0.4629071016205899
20,1100.0,231249.7142857143,178431.6,1.0,60517671510.91428,38424914194.62857,0.5463031457165308,0.7119310399596069
21,1100.0,231249.7142857143,178431.6,2.0,60517671510.91428,38424914194.62857,0.5463031457165308,0.7119310399596069
22,1100.0,231424.62857142856,179446.6857142857,3.0,60603145045.77143,38822783667.6,0.5456623564574434,0.7089482396668031
23,1100.0,239532.37142857144,192500.08571428573,4.0,64686394490.25714,44361210652.88571,0.5150505139663822,0.6674270304370391
24,1100.0,256692.05714285714,219548.05714285714,5.0,73728231891.2,57257931009.65714,0.44726447588310014,0.5707411978470406
25,1200.0,229867.48571428572,175159.57142857142,1.0,59847585511.02857,37181562475.22857,0.5513267347386682,0.7212523629678458
26,1200.0,229867.48571428572,175159.57142857142,2.0,59847585511.02857,37181562475.22857,0.5513267347386682,0.7212523629678458
27,1200.0,229991.45714285714,175953.25714285715,3.0,59911334313.62857,37499443409.14286,0.5508488143150654,0.7188692312948501
28,1200.0,234144.22857142857,184163.25714285715,4.0,61951271352.51428,40837629574.85714,0.535555545516515,0.6938430773701403
29,1200.0,244768.85714285713,201483.08571428573,5.0,67379049866.57143,48456319966.91428,0.49486386032616514,0.6367262753131968
30,1300.0,228141.91428571427,172247.14285714287,1.0,59003083725.74286,36082460766.85714,0.5576579070038107,0.7294922534853745
31,1300.0,228141.91428571427,172247.14285714287,2.0,59003083725.74286,36082460766.85714,0.5576579070038107,0.7294922534853745
32,1300.0,228265.05714285714,173008.65714285715,3.0,59063352712.6,36373757160.2,0.5572060745214091,0.7273084242992178
33,1300.0,230395.74285714285,177373.22857142857,4.0,60104469591.11429,38080604910.314285,0.5494008923170977,0.7145123031723829
34,1300.0,236145.62857142856,188534.77142857143,5.0,62957878178.71429,42764037218.88571,0.5280090828198324,0.6794009306988864
35,1400.0,226784.3142857143,170766.54285714286,1.0,58331384000.2,35497389853.51428,0.5626935940170974,0.7338784902041573
36,1400.0,226784.3142857143,170766.54285714286,2.0,58331384000.2,35497389853.51428,0.5626935940170974,0.7338784902041573
37,1400.0,226894.37142857144,171346.0285714286,3.0,58382401519.91428,35707256705.057144,0.5623111191526515,0.7323051327370546
38,1400.0,227874.3142857143,173424.91428571427,4.0,58867371926.25714,36526283630.34286,0.5586753291051338,0.726164943759219
39,1400.0,231165.82857142857,181712.77142857143,5.0,60495840750.74286,39873666776.65714,0.5464668094360547,0.7010698406984477
40,1500.0,225182.11428571428,169331.57142857142,1.0,57475855891.314285,34975113317.74286,0.5691074298779588,0.7377939617586574
41,1500.0,225182.11428571428,169331.57142857142,2.0,57475855891.314285,34975113317.74286,0.5691074298779588,0.7377939617586574
42,1500.0,225267.57142857142,169721.2857142857,3.0,57513129953.85714,35109327888.65714,0.5688279887742308,0.7367877642777805
43,1500.0,226010.54285714286,171152.14285714287,4.0,57875452068.37143,35710090877.85714,0.566111684602435,0.7322838851369444
44,1500.0,228056.2857142857,177203.22857142857,5.0,58922739543.2,38170348348.77143,0.5582602418585663,0.7138395027373357
45,1600.0,223737.0,167843.2,1.0,56795820333.171425,34425498435.942856,0.5742056100595059,0.7419143870280775
46,1600.0,223737.0,167843.2,2.0,56795820333.171425,34425498435.942856,0.5742056100595059,0.7419143870280775
47,1600.0,223799.65714285715,168105.2,3.0,56822428037.71429,34511587270.34286,0.5740061339139535,0.7412689849102984
48,1600.0,224480.42857142858,169438.85714285713,4.0,57139239277.4,35047655578.8,0.5716310216656059,0.7372501173769663
49,1600.0,225712.65714285715,173695.11428571428,5.0,57771058170.828575,36740522494.65714,0.566894318529668,0.724558809610665
50,1700.0,222326.3142857143,165817.08571428573,1.0,56151922361.685715,33686200213.485714,0.5790328692194999,0.7474568553605823
51,1700.0,222326.3142857143,165817.08571428573,2.0,56151922361.685715,33686200213.485714,0.5790328692194999,0.7474568553605823
52,1700.0,222387.14285714287,166059.82857142857,3.0,56177688953.88571,33765596609.657143,0.5788396988357942,0.7468616259955873
53,1700.0,223001.6,167064.2857142857,4.0,56457007106.28571,34116838244.057144,0.576745669704728,0.744228391427203
54,1700.0,223926.11428571428,170119.88571428572,5.0,56951041062.85714,35392571563.2,0.5730419308395396,0.734664305775042
