,DATE,STATION,ENTRIES,EXITS
0,03/13/2021,NEWARK HW BMEBE,423,800
1,03/13/2021,HARRISON,1326,1010
2,03/13/2021,JOURNAL SQUARE,6392,5041
3,03/13/2021,GROVE STREET,3935,4543
4,03/13/2021,EXCHANGE PLACE,2189,2489
5,03/13/2021,PAVONIA/NEWPORT,2732,2875
6,03/13/2021,CITY / BUS,3009,3347
7,03/13/2021,CHRISTOPHER ST,1020,1419
8,03/13/2021,9TH STREET,1237,1831
9,03/13/2021,14TH STREET,1910,2480
10,03/13/2021,TWENTY THIRD ST,1216,1673
11,03/13/2021,THIRTY ST,1376,475
12,03/13/2021,LACKAWANNA,770,954
13,03/13/2021,THIRTY THIRD ST,3962,4279
14,03/13/2021,NEWARK BM BW,3492,429
15,03/13/2021,NEWARK C,436,327
16,03/13/2021,NEWARK HM HE,0,3821
17,03/13/2021,PATH WTC 2,802,1940
18,03/13/2021,PATH NEW WTC,7312,8446
19,03/14/2021,NEWARK HW BMEBE,271,585
20,03/14/2021,HARRISON,894,783
21,03/14/2021,JOURNAL SQUARE,4446,4350
22,03/14/2021,GROVE STREET,2478,3149
23,03/14/2021,EXCHANGE PLACE,1369,1751
24,03/14/2021,PAVONIA/NEWPORT,1750,2122
25,03/14/2021,CITY / BUS,1889,2226
26,03/14/2021,CHRISTOPHER ST,811,896
27,03/14/2021,9TH STREET,853,1124
28,03/14/2021,14TH STREET,1159,1571
29,03/14/2021,TWENTY THIRD ST,678,961
30,03/14/2021,THIRTY ST,962,298
31,03/14/2021,LACKAWANNA,507,630
32,03/14/2021,THIRTY THIRD ST,2739,2930
33,03/14/2021,NEWARK BM BW,2589,300
34,03/14/2021,NEWARK C,349,169
35,03/14/2021,NEWARK HM HE,0,2933
36,03/14/2021,PATH WTC 2,593,1187
37,03/14/2021,PATH NEW WTC,4786,5757
38,03/15/2021,NEWARK HW BMEBE,874,1487
39,03/15/2021,HARRISON,2173,2497
40,03/15/2021,JOURNAL SQUARE,8657,6584
41,03/15/2021,GROVE STREET,4050,4583
42,03/15/2021,EXCHANGE PLACE,2749,3356
43,03/15/2021,PAVONIA/NEWPORT,2456,2817
44,03/15/2021,CITY / BUS,3022,3169
45,03/15/2021,CHRISTOPHER ST,947,964
46,03/15/2021,9TH STREET,893,1212
47,03/15/2021,14TH STREET,1943,2472
48,03/15/2021,TWENTY THIRD ST,1652,2190
49,03/15/2021,THIRTY ST,2688,2934
50,03/15/2021,LACKAWANNA,1334,1565
51,03/15/2021,THIRTY THIRD ST,4456,3541
52,03/15/2021,NEWARK BM BW,5233,294
53,03/15/2021,NEWARK C,1253,314
54,03/15/2021,NEWARK HM HE,0,5740
55,03/15/2021,PATH WTC 2,1098,3247
56,03/15/2021,PATH NEW WTC,11893,11743
57,03/16/2021,NEWARK HW BMEBE,1004,1695
58,03/16/2021,HARRISON,2212,2448
59,03/16/2021,JOURNAL SQUARE,8861,6727
60,03/16/2021,GROVE STREET,4261,4756
61,03/16/2021,EXCHANGE PLACE,2894,3418
62,03/16/2021,PAVONIA/NEWPORT,2574,3001
63,03/16/2021,CITY / BUS,3226,3515
64,03/16/2021,CHRISTOPHER ST,909,1009
65,03/16/2021,9TH STREET,907,1258
66,03/16/2021,14TH STREET,2143,2717
67,03/16/2021,TWENTY THIRD ST,1784,2289
68,03/16/2021,THIRTY ST,2694,2877
69,03/16/2021,LACKAWANNA,1515,1735
70,03/16/2021,THIRTY THIRD ST,4567,3870
71,03/16/2021,NEWARK BM BW,4285,299
72,03/16/2021,NEWARK C,1023,219
73,03/16/2021,NEWARK HM HE,1287,6236
74,03/16/2021,PATH WTC 2,1221,3207
75,03/16/2021,PATH NEW WTC,12485,11769
76,03/17/2021,NEWARK HW BMEBE,990,1650
77,03/17/2021,HARRISON,2330,2677
78,03/17/2021,JOURNAL SQUARE,9212,7285
79,03/17/2021,GROVE STREET,4473,5146
80,03/17/2021,EXCHANGE PLACE,3034,3634
81,03/17/2021,PAVONIA/NEWPORT,2871,3339
82,03/17/2021,CITY / BUS,3249,3582
83,03/17/2021,CHRISTOPHER ST,1038,1240
84,03/17/2021,9TH STREET,1053,1422
85,03/17/2021,14TH STREET,2131,2902
86,03/17/2021,TWENTY THIRD ST,1902,2418
87,03/17/2021,THIRTY ST,2757,3069
88,03/17/2021,LACKAWANNA,1595,1870
89,03/17/2021,THIRTY THIRD ST,4790,3823
90,03/17/2021,NEWARK BM BW,5511,699
91,03/17/2021,NEWARK C,1241,605
92,03/17/2021,NEWARK HM HE,0,5228
93,03/17/2021,PATH WTC 2,1269,3622
94,03/17/2021,PATH NEW WTC,12553,12795
95,03/18/2021,NEWARK HW BMEBE,818,1493
96,03/18/2021,HARRISON,2080,2375
97,03/18/2021,JOURNAL SQUARE,8423,6472
98,03/18/2021,GROVE STREET,4140,4642
99,03/18/2021,EXCHANGE PLACE,2858,3375
100,03/18/2021,PAVONIA/NEWPORT,2504,2951
101,03/18/2021,CITY / BUS,2961,3123
102,03/18/2021,CHRISTOPHER ST,899,1097
103,03/18/2021,9TH STREET,883,1186
104,03/18/2021,14TH STREET,2015,2658
105,03/18/2021,TWENTY THIRD ST,1587,2209
106,03/18/2021,THIRTY ST,2669,2768
107,03/18/2021,LACKAWANNA,1389,1609
108,03/18/2021,THIRTY THIRD ST,4180,3404
109,03/18/2021,NEWARK BM BW,5076,769
110,03/18/2021,NEWARK C,1188,630
111,03/18/2021,NEWARK HM HE,87,4958
112,03/18/2021,PATH WTC 2,1037,2897
113,03/18/2021,PATH NEW WTC,12056,11837
114,03/19/2021,NEWARK HW BMEBE,1001,1476
115,03/19/2021,HARRISON,2236,2494
116,03/19/2021,JOURNAL SQUARE,9245,6774
117,03/19/2021,GROVE STREET,4874,5547
118,03/19/2021,EXCHANGE PLACE,3258,3756
119,03/19/2021,PAVONIA/NEWPORT,3152,3580
120,03/19/2021,CITY / BUS,3659,3841
121,03/19/2021,CHRISTOPHER ST,1269,1395
122,03/19/2021,9TH STREET,1057,1537
123,03/19/2021,14TH STREET,2295,3056
124,03/19/2021,TWENTY THIRD ST,1896,2502
125,03/19/2021,THIRTY ST,2819,3138
126,03/19/2021,LACKAWANNA,1391,1690
127,03/19/2021,THIRTY THIRD ST,4752,3983
128,03/19/2021,NEWARK BM BW,5552,297
129,03/19/2021,NEWARK C,1053,265
130,03/19/2021,NEWARK HM HE,0,6276
131,03/19/2021,PATH WTC 2,1257,3426
132,03/19/2021,PATH NEW WTC,12614,12851
133,03/06/2021,NEWARK HW BMEBE,319,702
134,03/06/2021,HARRISON,1106,1178
135,03/06/2021,JOURNAL SQUARE,5803,4703
136,03/06/2021,GROVE STREET,3447,3435
137,03/06/2021,EXCHANGE PLACE,1655,1950
138,03/06/2021,PAVONIA/NEWPORT,2346,2229
139,03/06/2021,CITY / BUS,2700,3067
140,03/06/2021,CHRISTOPHER ST,989,1243
141,03/06/2021,9TH STREET,1068,1550
142,03/06/2021,14TH STREET,1809,2353
143,03/06/2021,TWENTY THIRD ST,1059,1405
144,03/06/2021,THIRTY ST,1015,203
145,03/06/2021,LACKAWANNA,559,705
146,03/06/2021,THIRTY THIRD ST,3862,3681
147,03/06/2021,NEWARK BM BW,3515,278
148,03/06/2021,NEWARK C,534,239
149,03/06/2021,NEWARK HM HE,0,3622
150,03/06/2021,PATH WTC 2,840,1692
151,03/06/2021,PATH NEW WTC,6304,7397
152,03/07/2021,NEWARK HW BMEBE,240,495
153,03/07/2021,HARRISON,811,1029
154,03/07/2021,JOURNAL SQUARE,4185,3905
155,03/07/2021,GROVE STREET,2242,2614
156,03/07/2021,EXCHANGE PLACE,1197,1628
157,03/07/2021,PAVONIA/NEWPORT,1696,1715
158,03/07/2021,CITY / BUS,1768,2067
159,03/07/2021,CHRISTOPHER ST,654,865
160,03/07/2021,9TH STREET,804,1092
161,03/07/2021,14TH STREET,1266,1512
162,03/07/2021,TWENTY THIRD ST,693,1035
163,03/07/2021,THIRTY ST,918,2325
164,03/07/2021,LACKAWANNA,442,588
165,03/07/2021,THIRTY THIRD ST,2451,893
166,03/07/2021,NEWARK BM BW,2433,323
167,03/07/2021,NEWARK C,371,155
168,03/07/2021,NEWARK HM HE,0,2777
169,03/07/2021,PATH WTC 2,759,1232
170,03/07/2021,PATH NEW WTC,4527,5268
171,03/08/2021,NEWARK HW BMEBE,790,1378
172,03/08/2021,HARRISON,2120,2516
173,03/08/2021,JOURNAL SQUARE,8720,6906
174,03/08/2021,GROVE STREET,3784,4208
175,03/08/2021,EXCHANGE PLACE,2733,3350
176,03/08/2021,PAVONIA/NEWPORT,2480,3074
177,03/08/2021,CITY / BUS,2996,3239
178,03/08/2021,CHRISTOPHER ST,950,1056
179,03/08/2021,9TH STREET,833,1189
180,03/08/2021,14TH STREET,1929,2567
181,03/08/2021,TWENTY THIRD ST,1691,2082
182,03/08/2021,THIRTY ST,2631,2764
183,03/08/2021,LACKAWANNA,1375,1558
184,03/08/2021,THIRTY THIRD ST,4435,3664
185,03/08/2021,NEWARK BM BW,5442,867
186,03/08/2021,NEWARK C,1236,534
187,03/08/2021,NEWARK HM HE,0,5021
188,03/08/2021,PATH WTC 2,1033,3071
189,03/08/2021,PATH NEW WTC,12021,12306
190,03/09/2021,NEWARK HW BMEBE,1018,1605
191,03/09/2021,HARRISON,2290,2640
192,03/09/2021,JOURNAL SQUARE,9410,7175
193,03/09/2021,GROVE STREET,4493,4807
194,03/09/2021,EXCHANGE PLACE,3062,3910
195,03/09/2021,PAVONIA/NEWPORT,2725,2905
196,03/09/2021,CITY / BUS,3438,3660
197,03/09/2021,CHRISTOPHER ST,1234,1276
198,03/09/2021,9TH STREET,1115,1504
199,03/09/2021,14TH STREET,2206,2891
200,03/09/2021,TWENTY THIRD ST,1799,2416
201,03/09/2021,THIRTY ST,2866,2915
202,03/09/2021,LACKAWANNA,1553,1818
203,03/09/2021,THIRTY THIRD ST,4800,4463
204,03/09/2021,NEWARK BM BW,5676,678
205,03/09/2021,NEWARK C,1263,703
206,03/09/2021,NEWARK HM HE,0,5671
207,03/09/2021,PATH WTC 2,1342,3495
208,03/09/2021,PATH NEW WTC,12792,12875
209,03/10/2021,NEWARK HW BMEBE,1073,1563
210,03/10/2021,HARRISON,2295,2576
211,03/10/2021,JOURNAL SQUARE,9236,7213
212,03/10/2021,GROVE STREET,4646,4986
213,03/10/2021,EXCHANGE PLACE,2995,3643
214,03/10/2021,PAVONIA/NEWPORT,2706,2773
215,03/10/2021,CITY / BUS,3567,3705
216,03/10/2021,CHRISTOPHER ST,1001,1226
217,03/10/2021,9TH STREET,1040,1322
218,03/10/2021,14TH STREET,2248,2973
219,03/10/2021,TWENTY THIRD ST,1818,2406
220,03/10/2021,THIRTY ST,2639,3040
221,03/10/2021,LACKAWANNA,1550,1798
222,03/10/2021,THIRTY THIRD ST,4802,4321
223,03/10/2021,NEWARK BM BW,5613,581
224,03/10/2021,NEWARK C,1382,683
225,03/10/2021,NEWARK HM HE,0,5767
226,03/10/2021,PATH WTC 2,1303,3513
227,03/10/2021,PATH NEW WTC,13020,12988
228,03/11/2021,NEWARK HW BMEBE,1155,1673
229,03/11/2021,HARRISON,2370,2657
230,03/11/2021,JOURNAL SQUARE,9586,7731
231,03/11/2021,GROVE STREET,4590,5447
232,03/11/2021,EXCHANGE PLACE,3272,3721
233,03/11/2021,PAVONIA/NEWPORT,2995,3496
234,03/11/2021,CITY / BUS,3490,3672
235,03/11/2021,CHRISTOPHER ST,1268,1500
236,03/11/2021,9TH STREET,1136,1552
237,03/11/2021,14TH STREET,2198,2922
238,03/11/2021,TWENTY THIRD ST,1987,2542
239,03/11/2021,THIRTY ST,2918,3383
240,03/11/2021,LACKAWANNA,1569,1828
241,03/11/2021,THIRTY THIRD ST,4816,4055
242,03/11/2021,NEWARK BM BW,5736,559
243,03/11/2021,NEWARK C,1342,559
244,03/11/2021,NEWARK HM HE,2,5846
245,03/11/2021,PATH WTC 2,1315,3411
246,03/11/2021,PATH NEW WTC,13094,13719
247,03/12/2021,NEWARK HW BMEBE,1033,1718
248,03/12/2021,HARRISON,2347,2634
249,03/12/2021,JOURNAL SQUARE,9718,7408
250,03/12/2021,GROVE STREET,5195,5789
251,03/12/2021,EXCHANGE PLACE,3192,3891
252,03/12/2021,PAVONIA/NEWPORT,3372,3905
253,03/12/2021,CITY / BUS,3802,3968
254,03/12/2021,CHRISTOPHER ST,1367,1722
255,03/12/2021,9TH STREET,1229,1836
256,03/12/2021,14TH STREET,2436,3092
257,03/12/2021,TWENTY THIRD ST,1768,2617
258,03/12/2021,THIRTY ST,2886,3424
259,03/12/2021,LACKAWANNA,1405,1762
260,03/12/2021,THIRTY THIRD ST,4737,4020
261,03/12/2021,NEWARK BM BW,5781,635
262,03/12/2021,NEWARK C,1250,682
263,03/12/2021,NEWARK HM HE,0,5578
264,03/12/2021,PATH WTC 2,1280,3550
265,03/12/2021,PATH NEW WTC,12513,13062
266,02/27/2021,NEWARK HW BMEBE,285,684
267,02/27/2021,HARRISON,1069,1177
268,02/27/2021,JOURNAL SQUARE,5529,4464
269,02/27/2021,GROVE STREET,2625,3017
270,02/27/2021,EXCHANGE PLACE,1373,1800
271,02/27/2021,PAVONIA/NEWPORT,2174,2604
272,02/27/2021,CITY / BUS,2345,2759
273,02/27/2021,CHRISTOPHER ST,940,1058
274,02/27/2021,9TH STREET,931,1352
275,02/27/2021,14TH STREET,1676,2117
276,02/27/2021,TWENTY THIRD ST,916,1263
277,02/27/2021,THIRTY ST,913,192
278,02/27/2021,LACKAWANNA,506,682
279,02/27/2021,THIRTY THIRD ST,3441,2208
280,02/27/2021,NEWARK BM BW,3245,341
281,02/27/2021,NEWARK C,335,173
282,02/27/2021,NEWARK HM HE,0,3227
283,02/27/2021,PATH WTC 2,679,1379
284,02/27/2021,PATH NEW WTC,5822,6645
285,02/28/2021,NEWARK HW BMEBE,0,382
286,02/28/2021,HARRISON,660,855
287,02/28/2021,JOURNAL SQUARE,3797,3580
288,02/28/2021,GROVE STREET,1644,2114
289,02/28/2021,EXCHANGE PLACE,985,1375
290,02/28/2021,PAVONIA/NEWPORT,1372,1521
291,02/28/2021,CITY / BUS,1456,1695
292,02/28/2021,CHRISTOPHER ST,489,654
293,02/28/2021,9TH STREET,624,817
294,02/28/2021,14TH STREET,1032,1312
295,02/28/2021,TWENTY THIRD ST,583,870
296,02/28/2021,THIRTY ST,563,136
297,02/28/2021,LACKAWANNA,302,474
298,02/28/2021,THIRTY THIRD ST,2357,2696
299,02/28/2021,NEWARK BM BW,2513,238
300,02/28/2021,NEWARK C,239,149
301,02/28/2021,NEWARK HM HE,0,2582
302,02/28/2021,PATH WTC 2,610,1070
303,02/28/2021,PATH NEW WTC,4120,4800
304,03/01/2021,NEWARK HW BMEBE,949,1689
305,03/01/2021,HARRISON,2139,2403
306,03/01/2021,JOURNAL SQUARE,8395,6665
307,03/01/2021,GROVE STREET,3538,4090
308,03/01/2021,EXCHANGE PLACE,2547,3052
309,03/01/2021,PAVONIA/NEWPORT,2541,3052
310,03/01/2021,CITY / BUS,2907,3285
311,03/01/2021,CHRISTOPHER ST,872,1001
312,03/01/2021,9TH STREET,876,1149
313,03/01/2021,14TH STREET,1850,2477
314,03/01/2021,TWENTY THIRD ST,1704,2145
315,03/01/2021,THIRTY ST,2594,2608
316,03/01/2021,LACKAWANNA,1358,1555
317,03/01/2021,THIRTY THIRD ST,4379,3870
318,03/01/2021,NEWARK BM BW,4988,588
319,03/01/2021,NEWARK C,1123,478
320,03/01/2021,NEWARK HM HE,0,5512
321,03/01/2021,PATH WTC 2,947,2786
322,03/01/2021,PATH NEW WTC,11605,11733
323,03/02/2021,NEWARK HW BMEBE,989,1477
324,03/02/2021,HARRISON,2158,2511
325,03/02/2021,JOURNAL SQUARE,8773,6694
326,03/02/2021,GROVE STREET,3927,4524
327,03/02/2021,EXCHANGE PLACE,2730,3273
328,03/02/2021,PAVONIA/NEWPORT,2390,2776
329,03/02/2021,CITY / BUS,3069,3275
330,03/02/2021,CHRISTOPHER ST,977,1058
331,03/02/2021,9TH STREET,887,1289
332,03/02/2021,14TH STREET,2125,2628
333,03/02/2021,TWENTY THIRD ST,1704,2226
334,03/02/2021,THIRTY ST,2614,2847
335,03/02/2021,LACKAWANNA,1428,1637
336,03/02/2021,THIRTY THIRD ST,4487,3755
337,03/02/2021,NEWARK BM BW,5073,569
338,03/02/2021,NEWARK C,1128,585
339,03/02/2021,NEWARK HM HE,0,5368
340,03/02/2021,PATH WTC 2,1102,3234
341,03/02/2021,PATH NEW WTC,12232,11863
342,03/03/2021,NEWARK HW BMEBE,1045,1523
343,03/03/2021,HARRISON,2255,2264
344,03/03/2021,JOURNAL SQUARE,9293,7352
345,03/03/2021,GROVE STREET,4246,4597
346,03/03/2021,EXCHANGE PLACE,2936,3485
347,03/03/2021,PAVONIA/NEWPORT,2712,3157
348,03/03/2021,CITY / BUS,3327,3634
349,03/03/2021,CHRISTOPHER ST,940,1152
350,03/03/2021,9TH STREET,986,1408
351,03/03/2021,14TH STREET,2228,2893
352,03/03/2021,TWENTY THIRD ST,1821,2390
353,03/03/2021,THIRTY ST,2623,3100
354,03/03/2021,LACKAWANNA,1491,1715
355,03/03/2021,THIRTY THIRD ST,4775,4137
356,03/03/2021,NEWARK BM BW,5268,598
357,03/03/2021,NEWARK C,1450,658
358,03/03/2021,NEWARK HM HE,0,5719
359,03/03/2021,PATH WTC 2,1043,3264
360,03/03/2021,PATH NEW WTC,13160,12857
361,03/04/2021,NEWARK HW BMEBE,1075,1643
362,03/04/2021,HARRISON,2154,2313
363,03/04/2021,JOURNAL SQUARE,9048,6962
364,03/04/2021,GROVE STREET,4115,4660
365,03/04/2021,EXCHANGE PLACE,2808,3451
366,03/04/2021,PAVONIA/NEWPORT,2669,2981
367,03/04/2021,CITY / BUS,3233,3482
368,03/04/2021,CHRISTOPHER ST,1025,1207
369,03/04/2021,9TH STREET,1069,1330
370,03/04/2021,14TH STREET,1813,2734
371,03/04/2021,TWENTY THIRD ST,1848,2351
372,03/04/2021,THIRTY ST,2735,2986
373,03/04/2021,LACKAWANNA,1347,1638
374,03/04/2021,THIRTY THIRD ST,4480,3868
375,03/04/2021,NEWARK BM BW,5111,747
376,03/04/2021,NEWARK C,1414,629
377,03/04/2021,NEWARK HM HE,0,5341
378,03/04/2021,PATH WTC 2,1126,3285
379,03/04/2021,PATH NEW WTC,12695,12136
380,03/05/2021,NEWARK HW BMEBE,939,1502
381,03/05/2021,HARRISON,2141,2491
382,03/05/2021,JOURNAL SQUARE,9278,6846
383,03/05/2021,GROVE STREET,4280,4797
384,03/05/2021,EXCHANGE PLACE,2881,3406
385,03/05/2021,PAVONIA/NEWPORT,3026,3724
386,03/05/2021,CITY / BUS,3251,3387
387,03/05/2021,CHRISTOPHER ST,1091,1301
388,03/05/2021,9TH STREET,984,1489
389,03/05/2021,14TH STREET,2250,2918
390,03/05/2021,TWENTY THIRD ST,1721,2364
391,03/05/2021,THIRTY ST,2670,3067
392,03/05/2021,LACKAWANNA,1325,1552
393,03/05/2021,THIRTY THIRD ST,4210,3601
394,03/05/2021,NEWARK BM BW,5408,765
395,03/05/2021,NEWARK C,1249,678
396,03/05/2021,NEWARK HM HE,0,5314
397,03/05/2021,PATH WTC 2,1187,3286
398,03/05/2021,PATH NEW WTC,12109,11983
399,02/20/2021,NEWARK HW BMEBE,3,576
400,02/20/2021,HARRISON,1132,1200
401,02/20/2021,JOURNAL SQUARE,5833,5151
402,02/20/2021,GROVE STREET,4467,5333
403,02/20/2021,EXCHANGE PLACE,6,177
404,02/20/2021,PAVONIA/NEWPORT,2839,2940
405,02/20/2021,CITY / BUS,2443,3103
406,02/20/2021,CHRISTOPHER ST,991,1261
407,02/20/2021,9TH STREET,1163,1585
408,02/20/2021,14TH STREET,1814,2411
409,02/20/2021,TWENTY THIRD ST,1075,1495
410,02/20/2021,THIRTY ST,1181,950
411,02/20/2021,LACKAWANNA,548,730
412,02/20/2021,THIRTY THIRD ST,3401,3513
413,02/20/2021,NEWARK BM BW,3475,569
414,02/20/2021,NEWARK C,403,98
415,02/20/2021,NEWARK HM HE,0,3247
416,02/20/2021,PATH WTC 2,736,2104
417,02/20/2021,PATH NEW WTC,5721,5396
418,02/21/2021,NEWARK HW BMEBE,0,472
419,02/21/2021,HARRISON,744,985
420,02/21/2021,JOURNAL SQUARE,4212,3955
421,02/21/2021,GROVE STREET,2953,3567
422,02/21/2021,EXCHANGE PLACE,41,307
423,02/21/2021,PAVONIA/NEWPORT,1780,1791
424,02/21/2021,CITY / BUS,1717,1937
425,02/21/2021,CHRISTOPHER ST,618,852
426,02/21/2021,9TH STREET,807,1092
427,02/21/2021,14TH STREET,1265,1623
428,02/21/2021,TWENTY THIRD ST,644,973
429,02/21/2021,THIRTY ST,928,409
430,02/21/2021,LACKAWANNA,429,570
431,02/21/2021,THIRTY THIRD ST,2465,2802
432,02/21/2021,NEWARK BM BW,2802,418
433,02/21/2021,NEWARK C,379,175
434,02/21/2021,NEWARK HM HE,0,2610
435,02/21/2021,PATH WTC 2,621,1825
436,02/21/2021,PATH NEW WTC,4043,3940
